"Type of Project Owner","Administration","Type of External Services","Region","Divisional","Budgetary year","Project description","Type of service","Provisionary amount of contract","Project owner","Method of tendering","Launching date","Date of attribution of contract","Date of signing of contract","Date of start-off of work","Date of receipt of services"
"1","27","0","0","0","2016","Mise à jour et publication des normes postales","SPI","20 000 000","MINPOSTEL","AONR","19/02/2016","22/04/2016","11/05/2016","23/05/2016","22/06/2016"
"1","27","0","0","0","2016","Acquisition d'équiepements pour la mise à jour du système dinformation, du matériel informatique et des logiciels (projet SIGIPES)","AG","30 000 000","MINPOSTEL","AONO","25/01/2016","18/03/2016","06/04/2016","15/04/2016","14/06/2016"
"1","27","0","0","0","2016","Acquisition et installation dun autocommutateur numérique (IPBX)","AG","80 000 000","MINPOSTEL","AONO","26/01/2016","18/03/2016","06/04/2016","15/04/2016","14/06/2016"
"1","27","0","0","0","2016","Achat du matériel informatique pour les services centraux","AG","80 000 000","MINPOSTEL","AONO","25/01/2016","18/03/2016","06/04/2016","15/04/2016","16/05/2016"
"1","27","0","0","0","2016","Achat des équipements pour l'aménagement des bornes fontaines dans le bâtiment principal et annexes du MINPOSTEL","AG","10 000 000","MINPOSTEL","DC","25/01/2016","26/02/2016","16/03/2016","25/03/2016","25/04/2016"
"1","27","0","0","0","2016","Réfection des bureaux des services centraux","BEC","63 441 000","MINPOSTEL","AONO","26/01/2016","18/03/2016","06/04/2016","15/04/2016","14/06/2016"
"1","27","0","0","0","2016","Achat de mobiliers de bureau pour les services centraux","AG","60 000 000","MINPOSTEL","AONO","25/01/2016","18/03/2016","06/04/2016","15/04/2016","16/05/2016"
"1","27","0","0","0","2016","Construction du Bureau de poste de Bafoussam III","BEC","55 000 000","MINPOSTEL","AONO","22/01/2016","16/03/2016","05/04/2016","15/04/2016","14/07/2016"
"1","14","0","0","0","2016","Maîtrise duvre : Programme de Réhabilitation des forages équipés sur létendue du territoire national","SPI","14 200 000","MINEE","AONR","15/01/2016","18/03/2016","06/04/2016","25/04/2016","25/08/2016"
"1","14","0","0","0","2016","Programme de Réhabilitation des forages équipés sur létendue du territoire national","AI","127 800 000","MINEE","AONO","25/01/2016","18/03/2016","06/04/2016","25/04/2016","25/07/2016"
"1","14","0","0","0","2016","Réalisation d'une adduction d'eau potable à la Présidence de la République: Maîtrise duvre","SPI","20 000 000","MINEE","AONR","05/01/2016","09/03/2016","29/03/2016","18/04/2016","18/08/2016"
"1","14","0","0","0","2016","Réalisation d'une adduction d'eau potable à la Présidence de la République","AI","180 000 000","MINEE","AONO","18/01/2016","11/03/2016","30/03/2016","18/04/2016","18/07/2016"
"1","14","0","0","0","2016","Meyos Yemvan : Tavaux dextension dune Adduction dEau Potable","AI","60 000 000","MINEE","AONO","22/01/2016","16/03/2016","05/04/2016","25/04/2016","25/07/2016"
"1","14","0","0","0","2016","EISGIP Campus de Mbankolo (phase 1) : Maîtrise duvre construction dune centrale solaire","SPI","11 704 300","MINEE","AONR","15/01/2016","18/03/2016","06/04/2016","25/04/2016","25/10/2016"
"1","14","0","0","0","2016","EISGIP Campus de Mbankolo (phase 1) : construction dune centrale solaire","AI","117 043 000","MINEE","AONO","22/01/2016","16/03/2016","05/04/2016","25/04/2016","26/09/2016"
"1","14","0","0","0","2016","Université de Buéa : Installation de lampadaires solaires, Lot 7","AI","50 000 000","MINEE","AONO","20/01/2016","14/03/2016","01/04/2016","20/04/2016","20/09/2016"
"1","14","0","0","0","2016","Elon-Enoah : Installation de lampadaires solaires, Lot 6","AI","100 000 000","MINEE","AONO","20/01/2016","14/03/2016","01/04/2016","20/04/2016","20/09/2016"
"1","14","0","0","0","2016","Mvomekaa et Meyomessala : Installation de lampadaires solaires, Lot 5","AI","100 000 000","MINEE","AONO","20/01/2016","14/03/2016","01/04/2016","20/04/2016","20/09/2016"
"1","14","0","0","0","2016","Nkilezock (église) : Installation de lampadaires solaires, Lot 4","AI","11 000 000","MINEE","AONO","20/01/2016","14/03/2016","01/04/2016","20/04/2016","20/09/2016"
"1","14","0","0","0","2016","Collège Athénée de la Sapience : Installation de lampadaires solaires, Lot 3","AI","100 000 000","MINEE","AONO","20/01/2016","14/03/2016","01/04/2016","20/04/2016","20/09/2016"
"1","14","0","0","0","2016","EIFORCES Awae : Installation de lampadaires solaires, Lot 2","AI","50 000 000","MINEE","AONO","20/01/2016","14/03/2016","01/04/2016","20/04/2016","20/09/2016"
"1","14","0","0","0","2016","Ville de Ngoumou : Installation de lampadaires solaires, Lot 1","AI","60 000 000","MINEE","AONO","20/01/2016","14/03/2016","01/04/2016","20/04/2016","20/09/2016"
"1","14","0","0","0","2016","Axe Yaoundé-Nkolbisson Station de la Mefou et autres (phase 2) : Installation de lampadaires solaires","AI","50 000 000","MINEE","AONO","20/01/2016","14/03/2016","01/04/2016","20/04/2016","20/09/2016"
"1","14","0","0","0","2016","Palais de lUnité de Yaoundé :Maîtrise duvre des Travaux Installation de lampadaires solaires","SPI","30 000 000","MINEE","AONR","20/01/2016","23/03/2016","12/04/2016","02/05/2016","02/11/2016"
"1","14","0","0","0","2016","Palais de lUnité de Yaoundé : Installation de lampadaires solaires","AI","270 000 000","MINEE","AONO","20/01/2016","14/03/2016","01/04/2016","20/04/2016","20/09/2016"
"1","14","0","0","0","2016","Nkol Olong 2 : Electrification rurale","AI","100 000 000","MINEE","AONO","15/01/2016","09/03/2016","29/03/2016","20/04/2016","20/07/2016"
"1","14","0","0","0","2016","Ville de Mgambe-Tikar : Maîtrise duvre des Travaux délectrification rurale","SPI","18 000 000","MINEE","AONR","18/01/2016","18/03/2016","06/04/2016","25/04/2016","25/08/2016"
